จังหวัด,คำขวัญประจำจังหวัด,ต้นไม้ประจำจังหวัด,จำนวนคำของคำขวัญประจำจังหวัด,จำนวนคำของต้นไม้ประจำจังหวัด
ตราด,เมืองเกาะครึ่งร้อย พลอยแดงค่าล้ำ ระกำแสนหวาน หลังอานหมาดี ยุทธนาวีเกาะช้าง สุดทางบูรพา,กันเกรา,23,1
ตาก,ธรรมชาติน่ายล ภูมิพลเขื่อนใหญ่ พระเจ้าตากเกรียงไกร เมืองไม้และป่างาม,ตาก,16,1
นครนายก,นครนายก เมืองในฝันที่ใกล้กรุง ภูเขางาม น้ำตกสวย รวยธรรมชาติ ปราศจากมลพิษ,สุพรรณิการ์,18,1
นครปฐม,ส้มโอหวาน ข้าวสารขาว ลูกสาวงาม ข้าวหลามหวานมัน สนามจันทร์งามล้น พุทธมณฑลคู่ธานี พระปฐมเจดีย์เสียดฟ้า,ต้นจัน,23,2
นครพนม,พระธาตุพนมล้ำค่า วัฒนธรรมหลากหลาย เรณูผู้ไท เรือไฟโสภา งามตาฝั่งโขง,ยางบง,15,2
นครราชสีมา,เมืองหญิงกล้า ผ้าไหมดี หมี่โคราชปราสาทหิน ดินด่านเกวียน,สาธร,13,1
นครศรีธรรมราช,นครศรีธรรมราช เมืองประวัติศาสตร์ พระธาตุทองคำ ชื่นฉ่ำธรรมชาติ แร่ธาตุอุดม เครื่องถมสามกษัตริย์ มากวัด มากศิลป์ ครบสิ้นกุ้งปู,แซะ,25,1
นครสวรรค์,เมืองสี่แคว แห่มังกร พักผ่อนบึงบอระเพ็ด ปลารสเด็ดปากน้ำโพ,อินทราชิต,14,2
นนทบุรี,พระตำหนักสง่างาม ลือนามสวนสมเด็จ เกาะเกร็ดแหล่งดินเผาวัดเก่า นามระบือ เลื่องลือทุเรียนนนท์ งามน่ายลศูนย์ราชการ,ปีบ,23,1
นราธิวาส,ทักษิณราชตำหนัก ชนรักศาสนา นราทัศน์เพลินตา บาโจตรึงใจ แหล่งใหญ่แร่ทอง ลองกองหอมหวาน,ตะเคียนซึมตาแมว,21,3
น่าน,แข่งเรือลือเลี่อง เมืองงาช้างดำ จิตรกรรมวัดภูมินทร์ แดนดินส้มสีทอง เรืองรองพระธาตุแช่แห้ง,เลี้ยวดอกขาว,19,3
บุรีรัมย์,เมืองปราสาทหิน ถิ่นภูเขาไฟ ผ้าไหมสวย รวยวัฒนธรรม,กาฬพฤกษ์,11,1
ปทุมธานี,เมืองก๋วยเตี๋ยวเรือ กุ้งเต้น ส้มเขียวหวาน ลอนตาลสด,ปาริชาติ,10,3
ประจวบคีรีขันธ์,เมืองทองเนื้อเก้า มะพร้าว สับปะรดสวยสด หาด เขา ถ้ำ งามล้ำน้ำใจ,เกด,13,1
ปราจีนบุรี,ศรีมหาโพธิ์คู่บ้าน ไผ่ตงหวานคู่เมือง ผลไม้ลือเลื่อง เขตเมืองทวารวดี,ต้นศรีมหาโพธิ์,16,4
ปัตตานี,บูดูสะอาด หาดทรายสวย รวยน้ำตก นกเขาดี ลูกหยีอร่อย หอยแครงสด,ตะเคียนทอง,16,1
พระนครศรีอยุธยา,ราชธานีเก่า อู่ข้าวอู่น้ำ,หมัน,5,1
พะเยา,กว๊านพะเยาแหล่งชีวิต ศักดิ์สิทธิ์พระเจ้าตนหลวง บวงสรวงพ่อขุนงำเมือง งามลือเลื่องดอยบุษราคัม,สารภีไทย,19,2
พังงา,แร่หมื่นล้าน บ้านกลางน้ำ ถ้ำงามตา ภูผาแปลก แมกไม้จำปูน,เทพทาโร,15,1
พัทลุง,เมืองหนังโนราห์ อู่นาข้าว พราวน้ำตก แหล่งนกน้ำ ทะเลสาบงาม เขาอกทะลุ น้ำพุร้อน,พะยอม,20,1
พิจิตร,เมืองชาละวัน แข่งขันเรือยาว ข้าวเจ้าอร่อย ส้มท่าข่อยรสเด็ด หลวงพ่อเพชรรวมใจ บึงสีไฟลือเลื่อง ยอดพระเครื่องหลวงพ่อเงิน,บุนนาค,27,1
พิษณุโลก,พระพุทธชินราชงามเลิศ ถิ่นกำเนิดพระนเรศวร สองฝั่งน่านล้วนเรือนแพ หวานฉ่ำแท้กล้วยตาก ถ้ำและน้ำตกหลากตระการตา,นนทรี,23,1
ภูเก็ต,ไข่มุกอันดามัน สวรรค์เมืองใต้ หาดทรายสีทอง สองวีรสตรี บารมีหลวงพ่อแช่ม,ประดู่บ้าน,13,1
มหาสารคาม,พุทธมณฑลอีสาน ถิ่นฐานอารยธรรม ผ้าไหมล้ำเลอค่า ตักศิลานคร,มะรุมป่า,13,2
มุกดาหาร,หอแก้วสูงเสียดฟ้า ภูผาเทิบแก่งกระเบา,ติ้ว,7,1
ยะลา,ยะลา ใต้สุดแดนสยาม เมืองงามชายแดน,โสกเขา,10,2
ยโสธร,เมืองประชาธิปไตย บั้งไฟโก้ แตงโมหวาน หมอนขวานผ้าขิด แหล่งผลิตข้าวมะลิ,กระบาก,14,1
ระนอง,คลอดกระ ภูเขาหญ้า กาหยูหวาน ธารน้ำแร่ มุกแท้เมืองระนอง,อบเชย,16,1
ระยอง,ผลไม้รสล้ำ อุตสาหกรรมก้าวหน้า น้ำปลารสเด็ด เกาะเสม็ดสวยหรู สุนทรภู่กวีเอก,กระทิง,15,1
ราชบุรี,คนสวยโพธาราม คนงามบ้านโป่ง เมืองโอ่งมังกร วัดขนอนหนังใหญ่ ตื่นใจถ้ำงาม ตลาดน้ำดำเนิน เพลินค้างคาวร้อยล้าน ย่านยี่สกปลาดี,โมกมัน,29,1
ร้อยเอ็ด,ร้อยเอ็ดเพชรอีสาน พลาญชัยบึงงาม เรืองนามพระสูงใหญ่ ผ้าไหมชั้นดี สตรีโสภา ทุ่งกุลาสดใส งานใหญ่บุญผะเหวด,กระบก,24,1
ลพบุรี,วังนารายณ์คู่บ้าน ศาลพระกาฬคู่เมือง ปรางค์สามยอดลือเลื่อง เมืองแห่งดินสอพอง แผ่นดินทองสมเด็จพระนารายณ์,พิกุล,23,1
ลำปาง,ถ่านหินลือชา รถม้าลือลั่น เครื่องปั้นลือนาม งามพระธาตุลือไกล ฝึกช้างใช้ลือโลก,กระเจา,19,1
ลำพูน,พระธาตุเด่น พระรอดขลัง ลำไยดัง กระเทียมดี ประเพณีงาม จามเทวีศรีหริภุญไชย,จามจุรี,19,1
ศรีสะเกษ,ศรีสะเกษ แดนปราสาทขอม หอมกระเทียมดี มีสวนสมเด็จ เขตดงลำดวน หลากล้วนวัฒนธรรม เลิศล้ำสามัคคี,ลำดวน,23,1
สกลนคร,พระธาตุเชิงชุมคู่บ้าน พระตำหนักภูพานคู่เมือง งามลือเลื่องหนองหาน แลตระการปราสาทผึ้ง สวยสุดซึ้งสาวภูไท ถิ่นมั่นในพุทธธรรม,อินทนิลน้ำ,30,1
สงขลา,นกน้ำเพลินตา สมิหลาเพลินใจ เมืองใหญ่สองทะเล เสน่ห์สะพานป๋า ศูนย์การค้าแดนใต้,สะเดาเทียม,16,2
สตูล,สตูล สงบ สะอาด ธรรมชาติบริสุทธิ์,กระซิก,6,1
สมุทรปราการ,ป้อมยุทธนาวี พระเจดีย์กลางน้ำ ฟาร์มจระเข้ใหญ่ งามวิไลเมืองโบราณ สงกรานต์พระประแดง ปลาสลิด แห้งรสดี ประเพณีรับบัว ครบถ้วนทั่วอุตสาหกรรม,โพทะเล,28,1
สมุทรสงคราม,เมืองหอยหลอด ยอดลิ้นจี่ มีอุทยาน ร.2 แม่กลองไหลผ่าน นมัสการหลวงพ่อบ้านแหลม,จิกทะเล,18,2
สมุทรสาคร,เมืองประมง ดงโรงงาน ลานเกษตร เขตประวัติศาสตร์,สัตบรรณ,10,1
สระบุรี,พระพุทธบาทลือนาม แหล่งน้ำอุดม นมเนื้อมากมาย หลากหลายโรงงาน ถิ่นข้าวสารพันธุ์ดี มีมะม่วงรสเลิศ งามบรรเจิดธรรมชาติ,ตะแบกนา,24,2
สระแก้ว,ชายแดนเบื้องบูรพา ป่างามน้ำตกสวย มากด้วยรอยอารยธรรมโบราณ ย่านการค้าไทย-เขมร,มะขามป้อม,16,1
สิงห์บุรี,ถิ่นวีรชนคนกล้า คู่หล้าพระนอน นามกระฉ่อน ปลาแม่ลา ย่านการค้าภาคกลาง,มะกล่ำต้น,17,2
สุพรรณบุรี,สุพรรณบุรีเมืองยุทธหัตถี วรรณคดีขึ้นชื่อ เลื่องลือพระเครื่อง รุ่งเรืองเกษตรกรรม สูงล้ำประวัติศาสตร์แหล่งปราชญ์ศิลปิน ภาษาถิ่นชวนฟัง,มะเกลือ,22,1
สุราษฎร์ธานี,เมืองร้อยเกาะ เงาะอร่อย หอยใหญ่ ไข่แดง แหล่งธรรมะ,เคี่ยม,12,1
สุรินทร์,สุรินทร์ถิ่นช้างใหญ่ ผ้าไหมดี มากมีปราสาท ผักกาดหวาน ข้าวสารหอม พร้อมวัฒนธรรม,มะค่าแต้,16,1
สุโขทัย,มรดกล้ำเลิศ กำเนิดลายสือไทย เล่นไฟลอยกระทง ดำรงพุทธศาสนา งามตาผ้าตีนจก สังคโลกทองโบราณ สักการแม่ย่าพ่อขุน รุ่งอรุณแห่งความสุข,มะค่าโมง,27,1
หนองคาย,มหาประตูสู่อินโดจีน ถิ่นวีรกรรมปราบฮ่อ หลวงพ่อพระใส บั้งไฟพญานาคราช สะพานสองชาติ ไทย-ลาว ฝั่งโขงยาวที่สุดในสยาม วัฒนธรรมล้ำค่า,ชิงชัน,32,1
หนองบัวลำภู,ศาลสมเด็จพระนเรศวรมหาราช อุทยานแห่ง ชาติภูเก้า ภูพานดำ แผ่นดินธรรมหลวงปู่ขาว เด่นสกาวถ้ำเอราวัณนครเขื่อนขันธ์กาบแก้วบัวบาน,พะยูง,31,1
อำนาจเจริญ,พระมงคลมิ่งเมือง แหล่งรุ่งเรือง เจ็ดลุ่มน้ำ งามล้ำถ้ำศักดิ์สิทธิ์ เทพนิมิตพระเหลา เกาะแก่งเขาแสนสวยเลอค่าด้วยผ้าไหม,ตะเคียนหิน,28,2
อุดรธานี,น้ำตกจากสันภูพาน อุทยานแห่งธรรมะ อารยธรรม 5000 ปี ธานีผ้าหมี่ขิต แดนเนรมิตหนองประจักษ์ เลิศลักษณ์กล้วยไม้หอมอุดรซันไฌน์,เต็ง,30,1
อุตรดิตถ์,เหล็กน้ำพี้ลือเลื่อง เมืองลางสาดหวาน บ้านพระยาพิชัยดาบหัก ถิ่นสักใหญ่ของโลก,สัก,18,1
อุทัยธานี,อุทัยธานี เมืองพระชนกจักรี ปลาแรดรสดี ประเพณีเทโว ส้มโอบ้าน น้ำตก มรดกโลกห้วยขาแข้ง แหล่งต้นน้ำสะแกกรัง ตลาดนัดดังโคกระบือ,สะเดา,31,1
อุบลราชธานี,เมืองแห่งดอกบัวงาม แม่น้ำสองสี มีปลาแซ่บหลาย หาดทรายแก่งหิน,ยางนา,16,2
อ่างทอง,พระสมเด็จเกษไชโย หลวงพ่อโตองค์ใหญ่ วีรไทยใจกล้า ตุ๊กตาชาววัง โด่งดังจักสาน ถิ่นฐานทำกลอง เมืองสองพระนอน,มะพลับ,26,1
เชียงราย,เหนือสุดยอดในสยาม ชายแดนสามแผ่นดิน ถิ่นวัฒนธรรมล้านนา,กะสะลองคำ,10,4
เชียงใหม่,ดอยสุเทพเป็นศรี ประเพณีเป็นสง่า บุปผาชาติล้วนงามตา นามล้ำค่านครพิงค์,ทองกวาว,17,1
เพชรบุรี,เขาวังคู่บ้าน ขนมหวาน เมืองพระเลิศล้ำศิลปะ แดนธรรมะ ทะเลงาม,หว้า,15,1
เพชรบูรณ์,เมืองมะขามหวาน อุทยานน้ำหนาว ศรีเทพเมืองเก่า เขาค้ออนุสรณ์ นครพ่อขุนผาเมือง,มะขาม,19,1
เลย,เมืองแห่งทะเลภูเขา สุดหนาวในสยาม,สนสามใบ,9,3
แพร่,แอ่วเวียงพระลอ ไหว้พระธาตุช่อแฮ นุ่งม่อฮ่อมแต้ ซิ้นแหล้งามตา ชมผานางคอย,ยมหิน,22,2
แม่ฮ่องสอน,หมอกสามฤดู กองมูเสียดฟ้า ป่าเขียวขจี ผู้คนดี ประเพณีงาม ลือนามถิ่นบัวตอง,กระพี้จั่น,18,2
